company,Education,experience,industry,jobid,joblocation_address,jobtitle,numberofpositions,payrate,postdate,Degree_PG,Degree_UG
Human Capital Resource,Any Graduate PostgraduateAny Postgraduate,0 - 1 yrs,Internet,1.31E+11,Bengaluru,Telesales Executive,1,"50,000 - 1,50,000 P.A",10/13/16,,
Careernet Technologies Pvt Ltd hiring for A US based Startup- Telecom domain or Mobile Domain,B.Tech/B.E. - Any Specialization PostgraduateM.Tech - Any Specialization Doctorate:Doctorate Not Required,3 - 6 yrs,IT Software Services,1.21E+11,Bengaluru,"Senio QA with a Product Based Startup, Bangalore",1,"9,00,000 - 14,00,000 P.A",10/13/16,Post Graduate,Under Graduate
Oakwood Premier Prestige Bangalore,BHM - Hotel Management PostgraduatePost Graduation Not Required,4 - 8 yrs,Travel,30916004016,Bengaluru,Duty Manager,2,Not Disclosed by Recruiter,10/13/16,,
The HRism hiring for US based Product Client,Any Graduate,3 - 7 yrs,IT Software Services,1.31E+11,"Ahmedabad, Bengaluru, Pune",Test Automation Engineer ( Selenium + API Testing) @ Ahmedabad,2,Not Disclosed by Recruiter,10/13/16,,
"iPlanner, Inc. hiring for Product based Company",Any Graduates,5 - 10 yrs,IT Software Services,1.31E+11,Bengaluru,Good Opportunity for Oracle DBA - Bangalore Location,1,"5,00,000 - 12,00,000 P.A",10/13/16,,
Global Connections,"Any Graduate - Any Specialization, B.Sc - Any Specialization, Maths, Physics, B.Com - Commerce PostgraduateMCA - Comp",5 - 10 yrs,BPO,70916003296,"Chennai, Mumbai, Bengaluru, Pune, Hyderabad, Canada, Australia",HR Managers in Demand in Canada & Australia,20,Not Disclosed by Recruiter,10/13/16,,Under Graduate
Accenture,Any Graduate,1 - 5 yrs,IT Software Services,1.21E+11,Bengaluru,Call Quality,1,Not Disclosed by Recruiter,10/13/16,,
Biocon Limited,"B.Tech/B.E. - Bio-Chemistry/Bio-Technology, Biomedical, Chemical, B.Pharma - Pharmacy PostgraduateMS/M.Sc(Science) -",5 - 10 yrs,Biotech,1.51E+11,Bengaluru,Assistant/ Deputy Manager Purchase,1,"4,00,000 - 8,00,000 P.A",10/13/16,,Under Graduate
eGov Tech Labs,B.Tech/B.E. - Computers PostgraduateMCA - Computers Doctorate:Doctorate Not Required,4 - 6 yrs,IT Software Services,71016901832,Bengaluru,IBM Mobile First Developer,1,Not Disclosed by Recruiter,10/13/16,,Under Graduate
Strivex Consulting Pvt Ltd,Any Graduate,4 - 9 yrs,IT Software Services,81016900152,Bengaluru,WLAN Device Driver Development Engineer - Linux,1,Not Disclosed by Recruiter,10/13/16,,
SLK Software Services Pvt. Ltd.,B.Tech/B.E. - Computers PostgraduatePost Graduation Not Required,3 - 5 yrs,IT Software Services,1.21E+11,Bengaluru,Senior Developer-bi,1,Not Disclosed by Recruiter,10/13/16,,Under Graduate
Inspiration Manpower Consultancy Pvt. Ltd.,Any Graduates,0 - 5 yrs,BPO,1.31E+11,"Bengaluru, Chennai",Banking / Mortgage / Finance / Sales / Bpo / Call Centre / Associate /,700,"2,00,000 - 5,50,000 P.A. Incentives & Joining bonus",10/13/16,,
Careernet Technologies Pvt Ltd hiring for Senior Developer (retail POS Development),Any Graduate,5 - 8 yrs,IT Software Services,1.01E+11,Bengaluru,Senior Developer (retail POS Development),1,Not Disclosed by Recruiter,10/13/16,,
Confidential,Any Graduate,9 - 12 yrs,IT Software Services,10816900754,"Delhi NCR, Bengaluru",Javascript Developer -oojs/angular/node/react - Html/css,1,Not Disclosed by Recruiter,10/13/16,,
IFB Support Services Pvt. Ltd.,Any Graduate,5 - 8 yrs,IT Software Services,1.31E+11,Bengaluru,Devops Engineer,1,Not Disclosed by Recruiter,10/13/16,,
Softtech Career Infosystem Pvt. Ltd,Any Graduate,2 - 5 yrs,IT Software Services,2.20E+11,Bengaluru,Developer - SQL Bi/cosmos/sql Azure,1,Not Disclosed by Recruiter,10/13/16,,
Strivex Consulting Pvt Ltd,Any Graduate,5 - 10 yrs,IT Software Services,81016900144,Bengaluru,Bluetooth Stack Test Engineer - Testing & Verification,1,Not Disclosed by Recruiter,10/13/16,,
EY,"B.Tech/B.E. - Any Specialization PostgraduateMBA/PGDM - Any Specialization, M.Tech - Any Specialization, MCA - Comput",7 - 12 yrs,IT Software Services,91016000411,"Bengaluru, Gurgaon",Sharepoint Technical Lead / Architect,1,Not Disclosed by Recruiter,10/13/16,Post Graduate,Under Graduate
StateStreet Global Advisor Pvt Ltd,Any Graduate - Any Specialization PostgraduatePost Graduation Not Required Doctorate:Doctorate Not Required,0 - 0 yrs,Banking,1.31E+11,Bengaluru,Trainee/intern,1,As per the company norms,10/13/16,,
Magna Infotech Pvt Ltd,Any Graduate,6 - 10 yrs,IT Software Services,1.31E+11,"Bengaluru, Mumbai, Pune",SFDC Developers,1,Not Disclosed by Recruiter,10/13/16,,
Greenage Griha Nirmaan Pvt Ltd.,B.Arch - Architecture,3 - 8 yrs,Real Estate ,40416004276,Bengaluru,Architect-salarpuria Sattva,3,Not Disclosed by Recruiter,10/13/16,,
OKDA Solutions,Any Graduate,3 - 6 yrs,IT Software Services,1.60E+11,Bengaluru,Full Stack Software Engineer - Angularjs/ruby on Rails,1,Not Disclosed by Recruiter,10/13/16,,
TopGear Consultants Pvt Ltd. hiring for Top Leading Bank,Any Graduates,3 - 6 yrs,Banking,1.31E+11,Bengaluru,Preferred Relationship Manager,1,Not Disclosed by Recruiter,10/13/16,,
Park Plaza Hotel,Any Graduates,2 - 4 yrs,Travel,1.31E+11,Bengaluru,Gym Instructor,1,Best in industry,10/13/16,,
Search Light,B.Tech/B.E. - Any Specialization PostgraduateMBA/PGDM - Any Specialization,10 - 15 yrs,Internet,1.81E+11,Bengaluru,VP - Program/project/product Management - Ecommerce - Iit/iim/fms,1,Not Disclosed by Recruiter,10/13/16,Post Graduate,Under Graduate
Career Trackers and Consulting hiring for A very Prestigious French MNC,Any Graduates,4 - 7 yrs,IT Software Services,1.31E+11,Bengaluru,"Technical Lead C#, .net, WCF, Winforms, WPF",8,Best In The Industry,10/13/16,,
CIGNEX Datamatics Technologies Ltd.,Any Graduate - Any Specialization PostgraduatePost Graduation Not Required Doctorate:Doctorate Not Required,2 - 7 yrs,IT Software Services,1.31E+11,Bengaluru,JAVA GWT,5,Not Disclosed by Recruiter,10/13/16,,
Kinesis Management Consultant Pvt. Ltd,Any Graduates,2 - 5 yrs,IT Software Services,1.31E+11,"Mumbai, Bengaluru, Delhi NCR, Chennai, Greater Noida, Hyderabad",Java Developers,7,"4,00,000 - 8,00,000 P.A",10/13/16,,
RBG HR SERVICES LLP hiring for Life Insurance Company,Any Graduate,1 - 6 yrs,Insurance,1.31E+11,"Bengaluru, Hyderabad, Chennai",Wealth Planning Offices - Direct Sales - Life Insurance,5,"2,50,000 - 3,00,000 P.A",10/13/16,,
HumanKonnect,Any Graduate - Any Specialization PostgraduateMBA/PGDM - Marketing Doctorate:Doctorate Not Required,6 - 10 yrs,Insurance,51016900668,Bengaluru,Senior Manager/deputy General Manager- Digital Marketing,1,Not Disclosed by Recruiter,10/13/16,Post Graduate,
BMS Innolabs Software Pvt. Ltd hiring for For Taxi Aggregation Company,"B.Tech/B.E. - Any Specialization, BCA - Computers",3 - 6 yrs,IT Software Services,1.31E+11,Bengaluru,Dot Net Developer - ( Bangalore - Whitefield),1,"3,00,000 - 7,50,000 P.A",10/13/16,,Under Graduate
Myntra Designs Pvt. Ltd.,Any Graduate - Any Specialization PostgraduateMBA/PGDM - Any Specialization,2 - 7 yrs,Internet,1.61E+11,Bengaluru,Manager Business Analytics,1,Not Disclosed by Recruiter,10/13/16,Post Graduate,
Magna Infotech Pvt Ltd,Any Graduate,0 - 1 yrs,Recruitment,1.31E+11,Bengaluru,Arts Fresher,1,Not Disclosed by Recruiter,10/13/16,,
Nitesh Estates Limited,LLB - Law PostgraduatePost Graduation Not Required Doctorate:Doctorate Not Required,8 - 12 yrs,Real Estate ,1.31E+11,Bengaluru,Legal Manager,2,Not Disclosed by Recruiter,10/13/16,,
EFS Facilities Services (india) Pvt. Ltd.,Any Graduates,0 - 5 yrs,Facility Management,2.61E+11,Bengaluru,Need Technicians,25,"50,000 - 2,00,000 P.A",10/10/2016,,
PlaySimple - Startup,"Any Graduate - Any Specialization, B.Tech/B.E. - Any Specialization Doctorate:Doctorate Not Required",3 - 5 yrs,Internet,1.01E+11,Bengaluru,Product Manager,1,Not Disclosed by Recruiter,10/10/2016,,Under Graduate
Job Finder,"B.Com - Commerce, B.B.A / B.M.S - Management PostgraduateCA",10 - 16 yrs,BPO,1.01E+11,Bengaluru,R2R Operations Manager/bangalore - Upto 17 L,5,"7,00,000 - 16,00,000 P.A. Night shifts+incentives",10/10/2016,,
Convate hiring for E-commerce/retail,Any Graduates,4 - 7 yrs,IT Software Services,1.01E+11,Bengaluru,Opening for Hadoop Developers-product Development Client,1,Not Disclosed by Recruiter,10/10/2016,,
Accel Frontline Limited,Any Graduate,5 - 9 yrs,IT Software Services,1.71E+11,Bengaluru,"Immediate Opening for Sr VC++ , C++ Professionals at AFL",2,"6,00,000 - 10,00,000 P.A",10/09/2016,,
"Opus Pro Soft hiring for Siliconindia, CIO Review",Any Graduate - Any Specialization PostgraduatePost Graduation Not Required,0 - 1 yrs,Publishing,80616004724,Bengaluru,Content Writer & Editor,1,Not Disclosed by Recruiter,10/12/2016,,
Hindco Recruitment Consultants hiring for A Large Real Estate / Housing Finance Company,"Any Graduate - Any Specialization PostgraduateMBA/PGDM - Any Specialization, CA",3 - 8 yrs,Banking,1.11E+11,"Chennai, Hyderabad, Bengaluru, Indore, Chandigarh, Jaipur, Kolkata",Investment Analyst | Construction Finance Industry,1,Best in the Industry,10/11/2016,Post Graduate,
Manipal-City & Guilds (MCG),"Any Graduate PostgraduatePost Graduation Not Required, Any Postgraduate",2 - 5 yrs,Education,70916008227,Bengaluru,Executive / Senior Executive - Examinations & Quality Systems,1,Not Disclosed by Recruiter,10/10/2016,,
Confidential,Any Graduate,4 - 9 yrs,IT Software Services,2.91E+11,Bengaluru,Opening for Ruby on Rails Development with Telecom Company,1,Not Disclosed by Recruiter,10/10/2016,,
Unique support and services hiring for A Retail Industry,Any Graduate - Any Specialization PostgraduatePost Graduation Not Required Doctorate:Doctorate Not Required,0 - 5 yrs,Retail,1.01E+11,"Bengaluru, Mumbai, Pune",Customer Support Associate/executive/cashier in a Retail Industry,3,"1,25,000 - 2,25,000 P.A",10/11/2016,,
Confidential,Any Graduate,3 - 6 yrs,IT Software Services,60916900046,Bengaluru,Teradata Developer,1,Not Disclosed by Recruiter,10/10/2016,,
Take Wings hiring for http://takewing.co.in,Any Graduate,0 - 5 yrs,Retail,1.21E+11,"Bengaluru, Chennai, Hyderabad",Process Engineer(refinery),1,Competitive salary based on merit and market standards,10/12/2016,,
Nasdaq Corporate Solutions (India) Pvt Ltd.,"B.Tech/B.E. - Computers, Any Graduate - Any Specialization, B.B.A / B.M.S - Management PostgraduateMBA/PGDM - Finance",5 - 7 yrs,IT Software Services,2.21E+11,Bengaluru,Senior Web Developer,1,Not Disclosed by Recruiter,10/10/2016,Post Graduate,Under Graduate
TRH Consultancy Services,"Any Graduate - Any Specialization, B.Tech/B.E. - Any Specialization Doctorate:Doctorate Not Required",3 - 6 yrs,IT Software Services,1.01E+11,"Bengaluru, Chennai",Big Fix Administrator - Tivoli/ Unix,1,Not Disclosed by Recruiter,10/10/2016,,Under Graduate
Take Wings hiring for http://takewing.co.in,Any Graduate,0 - 5 yrs,Chemicals,1.21E+11,"Bengaluru, Chennai, Hyderabad",Chemical Engineer,20,Competitive salary based on merit and market standards,10/12/2016,,
Confidential,Any Graduate,2 - 4 yrs,Recruitment,50916901117,Bengaluru,SOW Coordinator,1,Not Disclosed by Recruiter,10/10/2016,,
Confidential,Any Graduate,1 - 5 yrs,IT Software Services,1.50E+11,Bengaluru,Full Stack Enginner,1,Not Disclosed by Recruiter,10/10/2016,,
Quess Corp Ltd. hiring for Immediate Openings for bpo Voice Process. CALL sourabh@7204053192,Any Graduates,0 - 4 yrs,BPO,1.11E+11,Bengaluru,Immediate Openings for bpo Non/ Voice Process..call Sourabh,1,"1,50,000 - 4,00,000 P.A. Contact - sourabh@7204053192",10/11/2016,,
Confidential,Any Graduate,4 - 6 yrs,Recruitment,2.20E+11,Bengaluru,Urgent Openings Bangalore - IT Recruiter,1,Not Disclosed by Recruiter,10/10/2016,,
Thrillophilia Adventure Tours Pvt Ltd,B.Tech/B.E. - Any Specialization PostgraduatePost Graduation Not Required Doctorate:Doctorate Not Required,3 - 5 yrs,Internet,1.11E+11,"Bengaluru, Chennai, Hyderabad",UI UX Designer,4,Not Disclosed by Recruiter,10/11/2016,,Under Graduate
Axtel Communication Private Limited,"BCA - Computers, B.Tech/B.E. - Computers",2 - 7 yrs,IT Software Services,1.01E+11,Bengaluru,NET Programmer,1,Not Disclosed by Recruiter,10/10/2016,,Under Graduate
Local Job Search,Any Graduate,0 - 0 yrs,Government / Defence,2.31E+11,"Bengaluru, Mumbai, Pune, Chennai, Hyderabad, Gurgaon",Government Jobs for Freshers in India,1,"3,00,000 - 8,00,000 P.A",10/12/2016,,
Hindco Recruitment Consultants hiring for Leading Retail Company,B.Com - Commerce PostgraduateCA Doctorate:Doctorate Not Required,9 - 12 yrs,Retail,1.01E+11,"Hyderabad, Chennai, Bengaluru",Deputy Manager - Indirect Taxation | Confidential,1,This is a part of confidential search. The Company's Name will be disclosed only after shortlisting of your profile.,10/10/2016,,
Local Job Search,Any Graduate,0 - 5 yrs,IT Software Services,10716003976,"Bengaluru, Mumbai, Pune, Chennai, Hyderabad, Gurgaon",Software Jobs for Freshers,1,"1,50,000 - 4,75,000 P.A",10/12/2016,,
Confidential,Any Graduate,2 - 5 yrs,Recruitment,80716900165,Bengaluru,HR Coordinator,1,Not Disclosed by Recruiter,10/10/2016,,
Shoppyzip Online Pvt Ltd,Any Graduates,2 - 5 yrs,IT Software Services,1.51E+11,Bengaluru,.Net MVC - Senior Developer @ Shoppyzip.com - Bangalore,1,"1,00,000 - 6,00,000 P.A",10/11/2016,,
KPMG,Any Graduate,5 - 7 yrs,Finance,1.01E+11,Bengaluru,Assistant Manager - PMO,1,Not Disclosed by Recruiter,10/10/2016,,
State Bank Of India,B.Tech/B.E. - Any Specialization PostgraduateMCA - Computers,10 - 20 yrs,Banking,1.01E+11,"Bengaluru, Mumbai, Hyderabad",Technology Architect - Contractual ( PAN India ),5,Not Disclosed by Recruiter,10/10/2016,,Under Graduate
confidential,Any Graduate,3 - 5 yrs,Recruitment,1.01E+11,Bengaluru,Developer 3G,1,Not Disclosed by Recruiter,10/10/2016,,
Paramount Instruments Pvt. Ltd.,"Any Graduate - Any Specialization, B.Tech/B.E. - Any Specialization PostgraduateAny Postgraduate, MBA/PGDM - Any Spec",0 - 4 yrs,Textiles,1.01E+11,"Mumbai, Bengaluru, Delhi NCR",Sales Executive/senior Executive/assistant Sales Manager,3,Best in the industry,10/10/2016,Post Graduate,Under Graduate
Merrin and Associates,"Any Graduate - Any Specialization, B.Tech/B.E. - Any Specialization PostgraduateAny Postgraduate - Any Specialization",8 - 12 yrs,IT Software Services,1.40E+11,Bengaluru,lead data Scientist,1,"8,00,000 - 13,00,000 P.A",10/11/2016,,Under Graduate
WISDOM BRIDGE MANAGEMENT CONSULTANTS hiring for Leading Global IT Firm in India,Any Graduate,0 - 5 yrs,Electronics,1.21E+11,"Bengaluru, Wayanad, Warangal, Visakhapatnam, Vijayawada, Vellore, Tuticorin, Tumkur, Trivandrum","Hr-generalist/hr Admin/, Global MNC, Conatct Hr-080-49546910",5,"2,25,000 - 3,50,000 P.A",10/12/2016,,
Bob Technologies,Any Graduate,6 - 10 yrs,Recruitment,71016902339,Bengaluru,Big Data Test Engineer,1,Not Disclosed by Recruiter,10/10/2016,,
ASAP Info Systems Pvt Ltd,Any Graduates,3 - 8 yrs,IT Software Services,1.01E+11,"Hyderabad, Bengaluru",SAP Basis,1,"3,00,000 - 7,00,000 P.A",10/10/2016,,
Confidential,Any Graduate,5 - 7 yrs,Recruitment,61015005235,"Bengaluru, Hyderabad",Associate Recruiter,1,Not Disclosed by Recruiter,10/10/2016,,
Carmatec It Solutions Pvt Ltd,Any Graduates,3 - 8 yrs,IT Software Services,2.21E+11,Bengaluru,"Exciting Opportunity for Lead Cakephp Developer for Carmatec,bangalore",1,Not Disclosed by Recruiter,10/11/2016,,
Altisource Business Solutions Pvt Ltd,Any Graduate,3 - 7 yrs,IT Software Services,1.01E+11,Bengaluru,Technical Services Engineer,1,Not Disclosed by Recruiter,10/10/2016,,
Confidential,Any Graduate,2 - 4 yrs,Telecom/ISP,2.21E+11,Bengaluru,Product Specialist With a Telecom Product Based org in Bangalore,1,Not Disclosed by Recruiter,10/10/2016,,
Enlivening Technologies Pvt Ltd,B.Tech/B.E. - Any Specialization PostgraduateM.Tech - Any Specialization Doctorate:Doctorate Not Required,3 - 8 yrs,Electronics,1.61E+11,Bengaluru,Exciting Career Opportunity for RTL Design Engineers | Bangalore,10,Not Disclosed by Recruiter,10/10/2016,Post Graduate,Under Graduate
dynproindia,"B.Tech/B.E. - Any Specialization, Any Graduate - Any Specialization",3 - 6 yrs,IT Software Services,51016001393,"Pune, Bengaluru",Big Data Hadoop Developer,1,"1,00,000 - 5,00,000 P.A",10/10/2016,,Under Graduate
WISDOM BRIDGE MANAGEMENT CONSULTANTS hiring for Leading Retail firm in Bangalore,Any Graduate,1 - 6 yrs,Retail,1.21E+11,"Bengaluru, Visakhapatnam, Vijayawada, Warangal, Wayanad, Vellore, Tuticorin, Trivandrum, Tumkur","Assistant Manager,hr-generalist ,Top Retail Firm,7411909767,9686288924",4,"2,00,000 - 4,00,000 P.A",10/12/2016,,
Confidential,Any Graduate,5 - 8 yrs,IT Software Services,2.61E+11,Bengaluru,"HR Operation Lead"" - Bangalore",1,Not Disclosed by Recruiter,10/10/2016,,
Confidential,Any Graduate,3 - 6 yrs,Insurance,10916000104,Bengaluru,Front end Recruiter,1,Not Disclosed by Recruiter,10/10/2016,,
Confidential,Any Graduate,0 - 1 yrs,Recruitment,10316001892,Bengaluru,Immediate Job Opening for IT Recruiter(hcl Technologies),1,Not Disclosed by Recruiter,10/10/2016,,
EnkayConsultants,"B.Tech/B.E., BCA PostgraduateAny Postgraduate, Post Graduation Not Required",2 - 7 yrs,IT Software Services,50416000190,Bengaluru,Biztalk Developer,2,Not Disclosed by Recruiter,10/11/2016,,Under Graduate
Local Job Search,Any Graduate,0 - 1 yrs,IT Software Services,3.01E+11,"Bengaluru, Mumbai, Chennai, Pune, Hyderabad, Gurgaon",IT Software Engineer Jobs for Freshers in India,1,"3,00,000 - 8,00,000 P.A",10/12/2016,,
Spectrum HR Services hiring for A Reputed Pharma Giant,"B.Sc - Any Specialization, B.Pharma - Pharmacy, BAMS - Any Specialization, BDS - Dentistry, BHM - Hotel Mana",10 - 18 yrs,Biotech,1.01E+11,"Ahmedabad, Bengaluru, Hyderabad",Marketing Manager - Gastro,1,Excellent Working Environment and Growth Opportunities,10/10/2016,,Under Graduate
RoboWizards Education LLP,Any Graduate,0 - 4 yrs,Education,1.01E+11,"Bengaluru, Mumbai, Mumbai Suburbs",Robotics Trainer for Schools in Bangalore,2,Not Disclosed by Recruiter,10/10/2016,,
HMS Host Services India Pvt Ltd,Any Graduates,2 - 5 yrs,Travel,1.21E+11,Bengaluru,"Commis I, Commis II, Commis III, Tandoor, Continental, Garde Manjer",1,"1,50,000 - 3,00,000 P.A. Standard Benefits",10/12/2016,,
LAYFIELD BARRETT KPO SERVICES PRIVATE LIMITED,"B.A - Any Specialization PostgraduateAny Postgraduate, MBA/PGDM - Any Specialization, Finance",10 - 20 yrs,Legal,1.01E+11,Bengaluru,Controller,1,Not Disclosed by Recruiter,10/10/2016,Post Graduate,
Confidential,Any Graduate,0 - 1 yrs,Courier,40915900214,Bengaluru,Store Executive Required in Banglor(raja Rajeshwari Nagar & Marathall,1,Not Disclosed by Recruiter,10/10/2016,,
Confidential,Any Graduate,3 - 7 yrs,Telecom/ISP,1.50E+11,"Bengaluru, Chennai",Opening for UI Designer/developer for Telecom Company,1,Not Disclosed by Recruiter,10/10/2016,,
Quess Corp Ltd.,Any Graduates,0 - 5 yrs,BPO,70916000382,Bengaluru,Huge Requirements for International Voice.call Archana,1,"2,00,000 - 4,00,000 P.A",10/11/2016,,
Bull IT Services hiring for HCL Technology Limited,Any Graduates,3 - 5 yrs,IT Software Services,1.11E+11,Bengaluru,Job Opening for HCL Technologies C Developer Bangalore(16-10-2016),15,Not Disclosed by Recruiter,10/11/2016,,
ManpowerGroup Services India Private Limited hiring for MNC,Any Graduate,6 - 10 yrs,IT Software Services,1.01E+11,Bengaluru,Openings for Position of Test Engineer- Manager for Bangalore Location,1,Not Disclosed by Recruiter,10/10/2016,,
Quess Corp Ltd. hiring for Immediate Openings for bpo Voice Process. CALL Kavya@7204053179,Any Graduates,0 - 4 yrs,BPO,1.11E+11,Bengaluru,Immediate Openings for bpo Non/ Voice Process..call Kavya,1,"1,50,000 - 4,00,000 P.A. Contact - Kavya@7204053179",10/11/2016,,
Confidential,Any Graduate,3 - 8 yrs,IT Software Services,10915007386,Bengaluru,Software Engineer,1,Not Disclosed by Recruiter,10/10/2016,,
